,year,nationality,gender,subj_code,subj_name,number
395,2022,NATD,GESM,SF272,Alte Geschichte,127
396,2020,NATD,GESW,SF149,Soziologie,11423
397,2019,NATA,GESW,SF261,Innere Verwaltung,74
398,2019,NATA,GESW,SF021,Betriebswirtschaftslehre,15305
399,2022,NATD,GESM,SF032,Chemie,19871
400,2022,NATA,GESW,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
401,2019,NATD,GESW,SF074,Transport-/Fördertechnik,46
402,2020,NATA,GESW,SF085,Japanologie,280
403,2022,NATA,GESM,SF245,Sozialpädagogik,62
404,2018,NATA,GESW,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,3555
405,2020,NATD,GESM,SF192,Dirigieren,103
406,2019,NATA,GESM,SF175,Volkswirtschaftslehre,2340
407,2020,NATD,GESM,SF202,Fertigungs-/Produktionstechnik,4115
408,2021,NATA,GESM,SF234,Pflegewissenschaft/-management,181
409,2022,NATD,GESM,SF178,Wirtschafts-/Sozialgeografie,232
