,year,nationality,gender,subj_code,subj_name,number
625,2023,domestic,f,190,Gehörlosen-/Schwerhörigenpäd. (ab 2016 zu SF190),0
626,2020,domestic,m,104,Maschinenbau/-wesen,8457
627,2018,foreign,m,186,Lernbereich Naturwissenschaft/Sachunterricht,4
628,2018,domestic,f,233,Nichtärztliche Heilberufe/Therapien,1734
629,2019,domestic,m,180,Kaukasistik,0
630,2023,foreign,f,137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",144
631,2018,domestic,m,093,Landespflege/Landschaftsgestaltung,291
632,2018,domestic,m,103,Markscheidewesen,1
633,2019,foreign,f,221,Bioinformatik,67
634,2019,foreign,m,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,705
635,2021,domestic,m,190,Körperbehindertenpädagogik (ab 2016 zu SF190),0
636,2018,domestic,f,139,Russisch,51
637,2022,foreign,m,108,Metalltechnik,2
638,2023,foreign,m,140,Angewandte Systemwissenschaften,249
639,2022,foreign,m,098,Sportpädagogik/Sportpsychologie,52
640,2023,domestic,m,070,Griechisch,7
641,2022,foreign,f,182,Internationale Betriebswirtschaft/Management,2652
642,2023,domestic,m,226,Verfahrenstechnik,410
643,2023,foreign,m,380,Mechatronik,1044
644,2023,foreign,f,370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,651
645,2019,domestic,f,174,Volkskunde,94
646,2022,domestic,f,224,Physikal. Technik/Mechanische Verfahrenstechnik,87
647,2020,foreign,f,189,Niederdeutsch,0
648,2023,foreign,f,130,Westslawisch (allgemein und a.n.g.),2
649,2023,foreign,m,232,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
650,2020,domestic,m,245,Sozialpädagogik,332
651,2022,foreign,f,088,Optoelektronik,3
652,2023,domestic,m,320,Ernährungswissenschaft,137
653,2022,domestic,f,464,Facility Management,229
654,2023,foreign,f,276,Wirtschaftsmathematik,181
655,2023,foreign,m,286,Mikrosystemtechnik,162
656,2020,foreign,f,043,Neugriechisch,7
657,2020,foreign,m,185,Zahnmedizin,87
658,2022,domestic,m,038,Lateinamerika-Studien,6
659,2023,foreign,f,036,Sonstige Regionalwissenschaften,54
660,2023,domestic,f,163,Rhythmik,1
661,2021,domestic,m,184,Wirtschaftswissenschaften,4569
662,2020,foreign,f,282,Biotechnologie,275
663,2020,domestic,f,102,Schauspiel,37
664,2020,domestic,f,092,"Kunstgeschichte, Kunstwissenschaft",1210
665,2019,domestic,m,183,Wirtschafts-/Sozialgeschichte,7
666,2018,domestic,f,080,Instrumentalmusik,139
667,2018,foreign,f,175,Volkswirtschaftslehre,532
668,2018,foreign,m,185,Zahnmedizin,122
669,2020,domestic,m,005,Klassische Philologie,18
670,2021,foreign,m,303,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
671,2019,domestic,f,173,Ethnologie,356
672,2023,domestic,f,069,Grafikdesign/Kommunikationsgestaltung,1938
673,2021,foreign,f,123,Ingenieurinformatik/Technische Informatik,184
674,2022,domestic,m,131,Portugiesisch,1
675,2020,domestic,f,008,Anglistik/Englisch,4838
676,2019,foreign,f,124,Ozeanografie,1
677,2019,foreign,m,134,Raumplanung,143
678,2022,foreign,m,192,Dirigieren,15
679,2021,domestic,f,174,Volkskunde,67
680,2021,foreign,m,039,Geowissenschaften allgemein,167
681,2022,domestic,m,371,Tierproduktion,0
682,2018,domestic,m,006,Amerikanistik/Amerikakunde,90
683,2022,foreign,m,202,Fertigungs-/Produktionstechnik,171
684,2021,foreign,f,029,Sportwissenschaft,131
685,2022,domestic,m,039,Geowissenschaften allgemein,660
686,2022,foreign,f,181,Wirtschaftspädagogik,29
687,2019,foreign,f,125,Agrarökonomie,56
688,2022,foreign,m,303,Publizistik (ab 2008 zu SF303),0
689,2022,foreign,m,190,Lernbehindertenpädagogik (ab 2016 zu SF190),0
690,2023,domestic,m,071,Haushalts- und Ernährungswissenschaft,127
691,2019,domestic,f,175,Volkswirtschaftslehre,780
692,2023,domestic,m,227,Weinbau und Kellerwirtschaft,70
693,2019,foreign,m,039,Geowissenschaften allgemein,217
694,2022,domestic,m,303,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
695,2018,domestic,m,090,Lernbereich Geisteswissenschaften,106
696,2021,foreign,f,365,Pädagogik der frühen Kindheit,53
697,2022,foreign,f,190,Körperbehindertenpädagogik (ab 2016 zu SF190),0
698,2023,foreign,f,371,Tierproduktion,1
699,2019,domestic,m,089,Verkehrsingenieurwesen,423
700,2020,foreign,f,044,Ost- und Südosteuropa-Studien,15
701,2020,foreign,m,184,Wirtschaftswissenschaften,1131
702,2020,domestic,m,004,Interdisz. Studien (Schwerpunkt Geisteswiss.),495
