,year,subj_grp_code,subj_grp_name,gender,number
1094,2023,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,34825
1095,2019,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,656
1096,2022,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,1136
1097,2018,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,14210
1098,2020,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,755
1099,2022,FACHGR-SKW,Geisteswissenschaften,GESW,11058
1100,2018,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3212
1101,2019,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3263
1102,2022,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,7629
1103,2021,,Insgesamt,GESW,114094
1104,2018,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,6874
1105,2019,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,6986
1106,2023,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,22993
1107,2022,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30342
1108,2021,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,33843
1109,2023,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,7700
1110,2021,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,7507
1111,2022,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,34325
1112,2019,,Insgesamt,GESW,104763
1113,2022,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,22639
1114,2020,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,3374
1115,2021,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30781
